Operation,Transaction mode,time,time_s
OP1 - Retrieve,Read-only,243.73,0.244
OP1 - Retrieve,Read-only,244.01,0.244
OP1 - Retrieve,Read-only,243.03,0.243
OP1 - Retrieve,Read-only,245.02,0.245
OP1 - Retrieve,Read-only,242.84,0.243
OP1 - Retrieve,Read-only,245.69,0.246
OP1 - Retrieve,Read-only,242.85,0.243
OP1 - Retrieve,Read-only,249.48,0.249
OP1 - Retrieve,Read-only,247.51,0.248
OP1 - Retrieve,Read-only,248.11,0.248
OP1 - Retrieve,Read-only,247.51,0.248
OP1 - Retrieve,Read-only,246.72,0.247
OP1 - Retrieve,Read-only,247.37,0.247
OP1 - Retrieve,Read-only,249.03,0.249
OP1 - Retrieve,Read-only,247.74,0.248
OP1 - Retrieve,Read-only,246.94,0.247
OP1 - Retrieve,Read-only,247.96,0.248
OP1 - Retrieve,Read-only,246.65,0.247
OP1 - Retrieve,Read-only,249.56,0.25
OP1 - Retrieve,Read-only,284.15,0.284
OP1 - Retrieve,Read-only,252.56,0.253
OP1 - Retrieve,Read-only,247.15,0.247
OP1 - Retrieve,Read-only,247.48,0.247
OP1 - Retrieve,Read-only,248.21,0.248
OP1 - Retrieve,Read-only,246.81,0.247
OP1 - Retrieve,Read-only,247.08,0.247
OP1 - Retrieve,Read-only,248.57,0.249
OP1 - Retrieve,Read-only,247.77,0.248
OP1 - Retrieve,Read-only,246.68,0.247
OP1 - Retrieve,Read-only,247.4,0.247
OP1 - Retrieve,Read-only,247.43,0.247
OP1 - Retrieve,Read-only,246.03,0.246
OP1 - Retrieve,Read-only,248.41,0.248
OP1 - Retrieve,Read-only,248.13,0.248
OP1 - Retrieve,Read-only,246.3,0.246
OP1 - Retrieve,Read-only,247.5,0.247
OP1 - Retrieve,Read-only,248.91,0.249
OP1 - Retrieve,Read-only,245.9,0.246
OP1 - Retrieve,Read-only,250.07,0.25
OP1 - Retrieve,Read-only,247.78,0.248
OP1 - Retrieve,Read-only,247.54,0.248
OP1 - Retrieve,Read-only,247.64,0.248
OP1 - Retrieve,Read-only,248.12,0.248
OP1 - Retrieve,Read-only,246.43,0.246
OP1 - Retrieve,Read-only,249.19,0.249
OP1 - Retrieve,Read-only,248.51,0.249
OP1 - Retrieve,Read-only,245.64,0.246
OP1 - Retrieve,Read-only,248.14,0.248
OP1 - Retrieve,Read-only,249.11,0.249
OP1 - Retrieve,Read-only,248.72,0.249
OP1 - Retrieve,Read-only,246.7,0.247
OP1 - Retrieve,Read-only,246.53,0.247
