Operation,Transaction mode,time,time_s
OP1 - Retrieve,Read-only,456.57,0.457
OP1 - Retrieve,Read-only,452.9,0.453
OP1 - Retrieve,Read-only,464.32,0.464
OP1 - Retrieve,Read-only,466.67,0.467
OP1 - Retrieve,Read-only,463.48,0.463
OP1 - Retrieve,Read-only,463.51,0.464
OP1 - Retrieve,Read-only,463.06,0.463
OP1 - Retrieve,Read-only,461.46,0.461
OP1 - Retrieve,Read-only,452.26,0.452
OP1 - Retrieve,Read-only,449.21,0.449
OP1 - Retrieve,Read-only,454.33,0.454
OP1 - Retrieve,Read-only,449.87,0.45
OP1 - Retrieve,Read-only,452.12,0.452
OP1 - Retrieve,Read-only,452.6,0.453
OP1 - Retrieve,Read-only,452.0,0.452
OP1 - Retrieve,Read-only,448.69,0.449
OP1 - Retrieve,Read-only,447.25,0.447
OP1 - Retrieve,Read-only,447.33,0.447
OP1 - Retrieve,Read-only,454.47,0.454
OP1 - Retrieve,Read-only,455.88,0.456
OP1 - Retrieve,Read-only,456.34,0.456
OP1 - Retrieve,Read-only,457.88,0.458
OP1 - Retrieve,Read-only,455.91,0.456
OP1 - Retrieve,Read-only,453.88,0.454
OP1 - Retrieve,Read-only,450.43,0.45
OP1 - Retrieve,Read-only,460.0,0.46
OP1 - Retrieve,Read-only,454.77,0.455
OP1 - Retrieve,Read-only,456.44,0.456
OP1 - Retrieve,Read-only,460.61,0.461
OP1 - Retrieve,Read-only,455.2,0.455
OP1 - Retrieve,Read-only,458.88,0.459
OP1 - Retrieve,Read-only,454.93,0.455
OP1 - Retrieve,Read-only,445.58,0.446
OP1 - Retrieve,Read-only,450.23,0.45
OP1 - Retrieve,Read-only,451.89,0.452
OP1 - Retrieve,Read-only,454.26,0.454
OP1 - Retrieve,Read-only,455.42,0.455
OP1 - Retrieve,Read-only,455.11,0.455
OP1 - Retrieve,Read-only,455.54,0.456
OP1 - Retrieve,Read-only,458.19,0.458
OP1 - Retrieve,Read-only,457.4,0.457
OP1 - Retrieve,Read-only,457.25,0.457
OP1 - Retrieve,Read-only,457.78,0.458
OP1 - Retrieve,Read-only,452.25,0.452
OP1 - Retrieve,Read-only,448.53,0.449
OP1 - Retrieve,Read-only,450.12,0.45
OP1 - Retrieve,Read-only,457.09,0.457
OP1 - Retrieve,Read-only,449.51,0.45
OP1 - Retrieve,Read-only,459.99,0.46
OP1 - Retrieve,Read-only,459.16,0.459
OP1 - Retrieve,Read-only,457.06,0.457
OP1 - Retrieve,Read-only,458.55,0.459
OP1 - Retrieve,Read-only,457.82,0.458
OP1 - Retrieve,Read-only,460.11,0.46
OP1 - Retrieve,Read-only,460.98,0.461
OP1 - Retrieve,Read-only,465.45,0.465
OP1 - Retrieve,Read-only,458.73,0.459
OP1 - Retrieve,Read-only,460.16,0.46
OP1 - Retrieve,Read-only,461.82,0.462
OP1 - Retrieve,Read-only,457.37,0.457
OP1 - Retrieve,Read-only,456.52,0.457
OP1 - Retrieve,Read-only,458.67,0.459
OP1 - Retrieve,Read-only,460.25,0.46
OP1 - Retrieve,Read-only,455.74,0.456
OP1 - Retrieve,Read-only,455.21,0.455
OP1 - Retrieve,Read-only,452.96,0.453
OP1 - Retrieve,Read-only,457.87,0.458
OP1 - Retrieve,Read-only,450.41,0.45
OP1 - Retrieve,Read-only,447.55,0.448
OP1 - Retrieve,Read-only,447.74,0.448
OP1 - Retrieve,Read-only,449.59,0.45
OP1 - Retrieve,Read-only,448.48,0.448
OP1 - Retrieve,Read-only,463.25,0.463
OP1 - Retrieve,Read-only,462.47,0.462
OP1 - Retrieve,Read-only,459.64,0.46
OP1 - Retrieve,Read-only,464.39,0.464
OP1 - Retrieve,Read-only,457.01,0.457
OP1 - Retrieve,Read-only,461.68,0.462
OP1 - Retrieve,Read-only,459.16,0.459
OP1 - Retrieve,Read-only,459.27,0.459
OP1 - Retrieve,Read-only,446.61,0.447
OP1 - Retrieve,Read-only,449.34,0.449
OP1 - Retrieve,Read-only,449.62,0.45
OP1 - Retrieve,Read-only,443.41,0.443
OP1 - Retrieve,Read-only,455.92,0.456
OP1 - Retrieve,Read-only,461.0,0.461
OP1 - Retrieve,Read-only,457.3,0.457
OP1 - Retrieve,Read-only,446.62,0.447
OP1 - Retrieve,Read-only,448.32,0.448
OP1 - Retrieve,Read-only,445.99,0.446
OP1 - Retrieve,Read-only,457.82,0.458
OP1 - Retrieve,Read-only,448.04,0.448
OP1 - Retrieve,Read-only,455.25,0.455
OP1 - Retrieve,Read-only,463.65,0.464
OP1 - Retrieve,Read-only,459.18,0.459
OP1 - Retrieve,Read-only,454.45,0.454
OP1 - Retrieve,Read-only,457.3,0.457
OP1 - Retrieve,Read-only,455.69,0.456
OP1 - Retrieve,Read-only,454.92,0.455
OP1 - Retrieve,Read-only,458.89,0.459
OP1 - Retrieve,Read-only,465.42,0.465
OP1 - Retrieve,Read-only,455.4,0.455
OP1 - Retrieve,Read-only,461.1,0.461
OP1 - Retrieve,Read-only,466.6,0.467
OP1 - Retrieve,Read-only,463.25,0.463
OP1 - Retrieve,Read-only,460.61,0.461
OP1 - Retrieve,Read-only,467.94,0.468
OP1 - Retrieve,Read-only,464.14,0.464
OP1 - Retrieve,Read-only,462.69,0.463
OP1 - Retrieve,Read-only,467.87,0.468
OP1 - Retrieve,Read-only,469.45,0.469
OP1 - Retrieve,Read-only,466.08,0.466
OP1 - Retrieve,Read-only,472.03,0.472
OP1 - Retrieve,Read-only,470.16,0.47
OP1 - Retrieve,Read-only,467.65,0.468
OP1 - Retrieve,Read-only,462.08,0.462
OP1 - Retrieve,Read-only,463.25,0.463
OP1 - Retrieve,Read-only,459.12,0.459
OP1 - Retrieve,Read-only,458.07,0.458
OP1 - Retrieve,Read-only,462.15,0.462
OP1 - Retrieve,Read-only,457.18,0.457
OP1 - Retrieve,Read-only,463.1,0.463
OP1 - Retrieve,Read-only,471.74,0.472
OP1 - Retrieve,Read-only,468.93,0.469
OP1 - Retrieve,Read-only,474.49,0.474
OP1 - Retrieve,Read-only,468.36,0.468
OP1 - Retrieve,Read-only,470.12,0.47
OP1 - Retrieve,Read-only,477.93,0.478
OP1 - Retrieve,Read-only,471.58,0.472
OP1 - Retrieve,Read-only,468.05,0.468
OP1 - Retrieve,Read-only,470.69,0.471
OP1 - Retrieve,Read-only,471.31,0.471
OP1 - Retrieve,Read-only,470.44,0.47
OP1 - Retrieve,Read-only,468.73,0.469
OP1 - Retrieve,Read-only,468.84,0.469
OP1 - Retrieve,Read-only,466.94,0.467
OP1 - Retrieve,Read-only,471.27,0.471
OP1 - Retrieve,Read-only,464.61,0.465
OP1 - Retrieve,Read-only,466.19,0.466
OP1 - Retrieve,Read-only,473.17,0.473
OP1 - Retrieve,Read-only,471.5,0.471
OP1 - Retrieve,Read-only,476.31,0.476
OP1 - Retrieve,Read-only,470.38,0.47
OP1 - Retrieve,Read-only,470.95,0.471
OP1 - Retrieve,Read-only,470.09,0.47
OP1 - Retrieve,Read-only,471.12,0.471
OP1 - Retrieve,Read-only,469.36,0.469
OP1 - Retrieve,Read-only,470.2,0.47
OP1 - Retrieve,Read-only,470.02,0.47
OP1 - Retrieve,Read-only,471.17,0.471
OP1 - Retrieve,Read-only,472.61,0.473
OP1 - Retrieve,Read-only,473.49,0.473
OP1 - Retrieve,Read-only,469.45,0.469
OP1 - Retrieve,Read-only,471.05,0.471
OP1 - Retrieve,Read-only,470.25,0.47
OP1 - Retrieve,Read-only,470.01,0.47
OP1 - Retrieve,Read-only,477.57,0.478
OP1 - Retrieve,Read-only,468.62,0.469
OP1 - Retrieve,Read-only,466.06,0.466
OP1 - Retrieve,Read-only,462.88,0.463
OP1 - Retrieve,Read-only,469.08,0.469
OP1 - Retrieve,Read-only,468.63,0.469
OP1 - Retrieve,Read-only,464.57,0.465
OP1 - Retrieve,Read-only,475.35,0.475
OP1 - Retrieve,Read-only,469.52,0.47
OP1 - Retrieve,Read-only,477.06,0.477
OP1 - Retrieve,Read-only,478.15,0.478
OP1 - Retrieve,Read-only,476.83,0.477
OP1 - Retrieve,Read-only,471.41,0.471
OP1 - Retrieve,Read-only,467.93,0.468
OP1 - Retrieve,Read-only,471.4,0.471
OP1 - Retrieve,Read-only,471.71,0.472
OP1 - Retrieve,Read-only,470.91,0.471
OP1 - Retrieve,Read-only,469.44,0.469
OP1 - Retrieve,Read-only,468.41,0.468
OP1 - Retrieve,Read-only,476.12,0.476
OP1 - Retrieve,Read-only,477.94,0.478
OP1 - Retrieve,Read-only,468.23,0.468
OP1 - Retrieve,Read-only,473.07,0.473
OP1 - Retrieve,Read-only,473.37,0.473
OP1 - Retrieve,Read-only,473.2,0.473
OP1 - Retrieve,Read-only,474.06,0.474
OP1 - Retrieve,Read-only,467.23,0.467
OP1 - Retrieve,Read-only,462.7,0.463
OP1 - Retrieve,Read-only,463.97,0.464
OP1 - Retrieve,Read-only,465.78,0.466
OP1 - Retrieve,Read-only,475.47,0.475
OP1 - Retrieve,Read-only,467.64,0.468
OP1 - Retrieve,Read-only,465.43,0.465
OP1 - Retrieve,Read-only,471.37,0.471
OP1 - Retrieve,Read-only,470.73,0.471
OP1 - Retrieve,Read-only,471.22,0.471
OP1 - Retrieve,Read-only,472.75,0.473
OP1 - Retrieve,Read-only,471.73,0.472
OP1 - Retrieve,Read-only,466.28,0.466
OP1 - Retrieve,Read-only,466.07,0.466
OP1 - Retrieve,Read-only,470.19,0.47
OP1 - Retrieve,Read-only,473.95,0.474
OP1 - Retrieve,Read-only,475.4,0.475
OP1 - Retrieve,Read-only,477.54,0.478
OP1 - Retrieve,Read-only,473.12,0.473
OP1 - Retrieve,Read-only,462.84,0.463
OP1 - Retrieve,Read-only,466.84,0.467
OP1 - Retrieve,Read-only,467.05,0.467
OP1 - Retrieve,Read-only,464.04,0.464
OP1 - Retrieve,Read-only,467.85,0.468
OP1 - Retrieve,Read-only,463.81,0.464
OP1 - Retrieve,Read-only,464.77,0.465
OP1 - Retrieve,Read-only,468.48,0.468
OP1 - Retrieve,Read-only,463.75,0.464
OP1 - Retrieve,Read-only,459.86,0.46
OP1 - Retrieve,Read-only,465.44,0.465
OP1 - Retrieve,Read-only,458.93,0.459
OP1 - Retrieve,Read-only,464.63,0.465
OP1 - Retrieve,Read-only,464.9,0.465
OP1 - Retrieve,Read-only,464.73,0.465
OP1 - Retrieve,Read-only,464.64,0.465
OP1 - Retrieve,Read-only,460.88,0.461
OP1 - Retrieve,Read-only,464.33,0.464
OP1 - Retrieve,Read-only,468.29,0.468
OP1 - Retrieve,Read-only,466.44,0.466
OP1 - Retrieve,Read-only,459.71,0.46
OP1 - Retrieve,Read-only,463.74,0.464
OP1 - Retrieve,Read-only,461.43,0.461
OP1 - Retrieve,Read-only,464.86,0.465
OP1 - Retrieve,Read-only,460.46,0.46
OP1 - Retrieve,Read-only,463.14,0.463
OP1 - Retrieve,Read-only,464.6,0.465
OP1 - Retrieve,Read-only,464.98,0.465
OP1 - Retrieve,Read-only,464.56,0.465
OP1 - Retrieve,Read-only,467.65,0.468
OP1 - Retrieve,Read-only,452.34,0.452
OP1 - Retrieve,Read-only,450.48,0.45
