Operation,Transaction mode,time,time_s
OP1 - Retrieve,Read-only,479.86,0.48
OP1 - Retrieve,Read-only,478.59,0.479
OP1 - Retrieve,Read-only,478.28,0.478
OP1 - Retrieve,Read-only,475.98,0.476
OP1 - Retrieve,Read-only,506.27,0.506
OP1 - Retrieve,Read-only,506.13,0.506
OP1 - Retrieve,Read-only,504.58,0.505
OP1 - Retrieve,Read-only,483.49,0.483
OP1 - Retrieve,Read-only,478.53,0.479
OP1 - Retrieve,Read-only,476.64,0.477
OP1 - Retrieve,Read-only,479.98,0.48
OP1 - Retrieve,Read-only,477.84,0.478
OP1 - Retrieve,Read-only,477.5,0.477
OP1 - Retrieve,Read-only,480.5,0.48
OP1 - Retrieve,Read-only,478.74,0.479
OP1 - Retrieve,Read-only,479.55,0.48
OP1 - Retrieve,Read-only,478.64,0.479
OP1 - Retrieve,Read-only,478.26,0.478
OP1 - Retrieve,Read-only,508.93,0.509
OP1 - Retrieve,Read-only,479.99,0.48
OP1 - Retrieve,Read-only,476.6,0.477
OP1 - Retrieve,Read-only,476.29,0.476
OP1 - Retrieve,Read-only,489.17,0.489
OP1 - Retrieve,Read-only,514.92,0.515
OP1 - Retrieve,Read-only,514.96,0.515
OP1 - Retrieve,Read-only,519.68,0.52
OP1 - Retrieve,Read-only,517.25,0.517
OP1 - Retrieve,Read-only,515.01,0.515
OP1 - Retrieve,Read-only,515.67,0.516
OP1 - Retrieve,Read-only,511.92,0.512
OP1 - Retrieve,Read-only,512.22,0.512
OP1 - Retrieve,Read-only,514.46,0.514
OP1 - Retrieve,Read-only,511.74,0.512
OP1 - Retrieve,Read-only,516.18,0.516
OP1 - Retrieve,Read-only,485.08,0.485
OP1 - Retrieve,Read-only,484.61,0.485
OP1 - Retrieve,Read-only,486.44,0.486
OP1 - Retrieve,Read-only,512.8,0.513
OP1 - Retrieve,Read-only,513.25,0.513
OP1 - Retrieve,Read-only,486.04,0.486
OP1 - Retrieve,Read-only,485.03,0.485
OP1 - Retrieve,Read-only,486.37,0.486
OP1 - Retrieve,Read-only,488.22,0.488
OP1 - Retrieve,Read-only,488.18,0.488
OP1 - Retrieve,Read-only,513.66,0.514
OP1 - Retrieve,Read-only,484.59,0.485
OP1 - Retrieve,Read-only,519.18,0.519
OP1 - Retrieve,Read-only,519.17,0.519
OP1 - Retrieve,Read-only,520.67,0.521
OP1 - Retrieve,Read-only,516.83,0.517
OP1 - Retrieve,Read-only,515.23,0.515
OP1 - Retrieve,Read-only,483.87,0.484
OP1 - Retrieve,Read-only,480.12,0.48
OP1 - Retrieve,Read-only,488.03,0.488
OP1 - Retrieve,Read-only,489.09,0.489
OP1 - Retrieve,Read-only,479.0,0.479
OP1 - Retrieve,Read-only,483.55,0.484
OP1 - Retrieve,Read-only,481.54,0.482
OP1 - Retrieve,Read-only,479.02,0.479
OP1 - Retrieve,Read-only,479.93,0.48
OP1 - Retrieve,Read-only,478.49,0.478
OP1 - Retrieve,Read-only,479.35,0.479
OP1 - Retrieve,Read-only,481.82,0.482
OP1 - Retrieve,Read-only,488.89,0.489
OP1 - Retrieve,Read-only,486.91,0.487
OP1 - Retrieve,Read-only,489.03,0.489
OP1 - Retrieve,Read-only,488.29,0.488
OP1 - Retrieve,Read-only,488.58,0.489
OP1 - Retrieve,Read-only,488.59,0.489
OP1 - Retrieve,Read-only,489.35,0.489
OP1 - Retrieve,Read-only,490.41,0.49
OP1 - Retrieve,Read-only,489.28,0.489
OP1 - Retrieve,Read-only,489.0,0.489
OP1 - Retrieve,Read-only,488.07,0.488
OP1 - Retrieve,Read-only,479.85,0.48
OP1 - Retrieve,Read-only,489.44,0.489
OP1 - Retrieve,Read-only,489.14,0.489
OP1 - Retrieve,Read-only,522.59,0.523
OP1 - Retrieve,Read-only,520.47,0.52
OP1 - Retrieve,Read-only,518.74,0.519
OP1 - Retrieve,Read-only,484.26,0.484
OP1 - Retrieve,Read-only,520.92,0.521
OP1 - Retrieve,Read-only,518.96,0.519
OP1 - Retrieve,Read-only,519.45,0.519
OP1 - Retrieve,Read-only,517.92,0.518
OP1 - Retrieve,Read-only,517.23,0.517
OP1 - Retrieve,Read-only,487.01,0.487
OP1 - Retrieve,Read-only,486.21,0.486
OP1 - Retrieve,Read-only,519.02,0.519
OP1 - Retrieve,Read-only,480.05,0.48
OP1 - Retrieve,Read-only,479.45,0.479
OP1 - Retrieve,Read-only,481.27,0.481
OP1 - Retrieve,Read-only,479.83,0.48
OP1 - Retrieve,Read-only,479.12,0.479
OP1 - Retrieve,Read-only,480.08,0.48
OP1 - Retrieve,Read-only,481.78,0.482
OP1 - Retrieve,Read-only,522.16,0.522
OP1 - Retrieve,Read-only,481.79,0.482
OP1 - Retrieve,Read-only,516.81,0.517
OP1 - Retrieve,Read-only,521.8,0.522
OP1 - Retrieve,Read-only,486.17,0.486
OP1 - Retrieve,Read-only,488.24,0.488
OP1 - Retrieve,Read-only,486.33,0.486
OP1 - Retrieve,Read-only,517.35,0.517
OP1 - Retrieve,Read-only,482.45,0.482
OP1 - Retrieve,Read-only,482.19,0.482
OP1 - Retrieve,Read-only,516.17,0.516
OP1 - Retrieve,Read-only,519.84,0.52
OP1 - Retrieve,Read-only,512.15,0.512
OP1 - Retrieve,Read-only,514.56,0.515
OP1 - Retrieve,Read-only,516.88,0.517
OP1 - Retrieve,Read-only,484.05,0.484
OP1 - Retrieve,Read-only,513.7,0.514
OP1 - Retrieve,Read-only,487.16,0.487
OP1 - Retrieve,Read-only,515.41,0.515
OP1 - Retrieve,Read-only,514.03,0.514
OP1 - Retrieve,Read-only,515.55,0.516
OP1 - Retrieve,Read-only,516.27,0.516
