Operation,Transaction mode,time,time_s
OP1 - Retrieve,Read-only,328.72,0.329
OP1 - Retrieve,Read-only,332.69,0.333
OP1 - Retrieve,Read-only,332.99,0.333
OP1 - Retrieve,Read-only,334.1,0.334
OP1 - Retrieve,Read-only,333.87,0.334
OP1 - Retrieve,Read-only,336.81,0.337
OP1 - Retrieve,Read-only,331.32,0.331
OP1 - Retrieve,Read-only,337.58,0.338
OP1 - Retrieve,Read-only,333.02,0.333
OP1 - Retrieve,Read-only,331.47,0.331
OP1 - Retrieve,Read-only,332.62,0.333
OP1 - Retrieve,Read-only,338.75,0.339
OP1 - Retrieve,Read-only,336.18,0.336
OP1 - Retrieve,Read-only,330.3,0.33
OP1 - Retrieve,Read-only,333.19,0.333
OP1 - Retrieve,Read-only,333.25,0.333
OP1 - Retrieve,Read-only,335.98,0.336
OP1 - Retrieve,Read-only,335.61,0.336
OP1 - Retrieve,Read-only,334.98,0.335
OP1 - Retrieve,Read-only,333.82,0.334
OP1 - Retrieve,Read-only,334.24,0.334
OP1 - Retrieve,Read-only,335.2,0.335
OP1 - Retrieve,Read-only,335.17,0.335
OP1 - Retrieve,Read-only,333.51,0.334
OP1 - Retrieve,Read-only,332.05,0.332
OP1 - Retrieve,Read-only,335.06,0.335
OP1 - Retrieve,Read-only,333.34,0.333
OP1 - Retrieve,Read-only,331.44,0.331
OP1 - Retrieve,Read-only,334.15,0.334
OP1 - Retrieve,Read-only,333.17,0.333
OP1 - Retrieve,Read-only,333.04,0.333
OP1 - Retrieve,Read-only,334.41,0.334
OP1 - Retrieve,Read-only,333.21,0.333
OP1 - Retrieve,Read-only,334.9,0.335
OP1 - Retrieve,Read-only,331.58,0.332
OP1 - Retrieve,Read-only,334.18,0.334
OP1 - Retrieve,Read-only,336.02,0.336
OP1 - Retrieve,Read-only,337.13,0.337
OP1 - Retrieve,Read-only,331.38,0.331
OP1 - Retrieve,Read-only,333.86,0.334
OP1 - Retrieve,Read-only,332.15,0.332
OP1 - Retrieve,Read-only,333.71,0.334
OP1 - Retrieve,Read-only,328.6,0.329
OP1 - Retrieve,Read-only,333.38,0.333
OP1 - Retrieve,Read-only,333.16,0.333
OP1 - Retrieve,Read-only,337.56,0.338
OP1 - Retrieve,Read-only,332.63,0.333
OP1 - Retrieve,Read-only,334.97,0.335
OP1 - Retrieve,Read-only,333.62,0.334
OP1 - Retrieve,Read-only,344.83,0.345
OP1 - Retrieve,Read-only,347.9,0.348
OP1 - Retrieve,Read-only,340.82,0.341
OP1 - Retrieve,Read-only,332.19,0.332
OP1 - Retrieve,Read-only,331.0,0.331
OP1 - Retrieve,Read-only,330.57,0.331
OP1 - Retrieve,Read-only,334.12,0.334
OP1 - Retrieve,Read-only,335.12,0.335
OP1 - Retrieve,Read-only,334.63,0.335
OP1 - Retrieve,Read-only,334.64,0.335
OP1 - Retrieve,Read-only,330.75,0.331
OP1 - Retrieve,Read-only,335.38,0.335
OP1 - Retrieve,Read-only,335.19,0.335
OP1 - Retrieve,Read-only,336.04,0.336
OP1 - Retrieve,Read-only,330.02,0.33
OP1 - Retrieve,Read-only,334.64,0.335
OP1 - Retrieve,Read-only,339.29,0.339
OP1 - Retrieve,Read-only,333.99,0.334
OP1 - Retrieve,Read-only,334.96,0.335
OP1 - Retrieve,Read-only,331.86,0.332
OP1 - Retrieve,Read-only,333.21,0.333
OP1 - Retrieve,Read-only,329.69,0.33
OP1 - Retrieve,Read-only,334.2,0.334
OP1 - Retrieve,Read-only,330.56,0.331
OP1 - Retrieve,Read-only,333.39,0.333
OP1 - Retrieve,Read-only,333.42,0.333
OP1 - Retrieve,Read-only,331.47,0.331
OP1 - Retrieve,Read-only,331.16,0.331
OP1 - Retrieve,Read-only,335.57,0.336
OP1 - Retrieve,Read-only,333.18,0.333
OP1 - Retrieve,Read-only,334.25,0.334
OP1 - Retrieve,Read-only,333.56,0.334
OP1 - Retrieve,Read-only,334.48,0.334
OP1 - Retrieve,Read-only,335.8,0.336
OP1 - Retrieve,Read-only,339.06,0.339
OP1 - Retrieve,Read-only,333.18,0.333
OP1 - Retrieve,Read-only,334.8,0.335
OP1 - Retrieve,Read-only,336.67,0.337
OP1 - Retrieve,Read-only,336.46,0.336
OP1 - Retrieve,Read-only,334.37,0.334
OP1 - Retrieve,Read-only,334.14,0.334
OP1 - Retrieve,Read-only,334.59,0.335
OP1 - Retrieve,Read-only,331.72,0.332
OP1 - Retrieve,Read-only,334.98,0.335
OP1 - Retrieve,Read-only,333.63,0.334
OP1 - Retrieve,Read-only,335.14,0.335
OP1 - Retrieve,Read-only,332.0,0.332
OP1 - Retrieve,Read-only,334.06,0.334
OP1 - Retrieve,Read-only,332.53,0.333
OP1 - Retrieve,Read-only,333.29,0.333
OP1 - Retrieve,Read-only,336.45,0.336
OP1 - Retrieve,Read-only,338.67,0.339
OP1 - Retrieve,Read-only,337.77,0.338
OP1 - Retrieve,Read-only,336.96,0.337
OP1 - Retrieve,Read-only,336.45,0.336
OP1 - Retrieve,Read-only,332.75,0.333
